,Features
0,GAS2
1,S100A16
2,SELL
3,STON2
4,ABL1
5,CRHBP
6,RXFP1
7,PCBD2
8,RPS27
9,MTRNR2L4
10,TPSAB1
11,KIAA1377
12,AARD
13,MS4A2
14,RRS1
15,SLC25A52
16,GOLGA8O
17,IFITM1
18,MARCKS
19,SPINK2
20,DENND4A
21,HNRNPH1
22,TRIM68
23,ADD1
24,DDX5
25,ZNF286A
26,LINC00671
27,AASS
28,FLJ10038
29,EEF1G
30,C17orf77
31,CDK19
32,CD69
33,SLC27A2
34,SMIM1
35,COX4I1
36,ABI1
37,RNU6-2
38,ATP5B
39,AP1G1
40,ANXA2
41,CD74
42,KRT18
43,NQO2
44,CAPN11
45,EIF2AK4
46,LOC100129931
47,EPCAM
48,SRBD1
49,ENO1
50,CDC42SE2
51,MIR6723
52,SIPA1
53,SFTPB
54,NDUFA1
55,HLA-DRB6
56,CCDC117
57,GTF2H2C
58,TIMMDC1
59,IK
60,ANXA3
61,KIAA0247
62,GTF2A2
63,SDCCAG3
64,P2RY8
65,XRCC5
66,ANKRD49
67,SLC26A2
68,LOC101927151
69,CRLF3
70,GEMIN7
71,GNPTG
72,MTCH2
73,STK17A
74,CKLF
75,UBB
76,HLA-DMA
77,FAM168B
78,N4BP2L2
79,GNRHR2
80,ME3
81,BLNK
82,SNX2
83,CCDC28B
84,SLAMF7
85,CDK5RAP3
86,METTL2A
87,SIGLEC8
88,CARF
89,ZNF274
90,ITFG2
91,CTR9
92,RPS9
93,PCSK5
94,PLAG1
95,NUFIP1
96,ANGPT2
97,ANKRD40
98,PCGF5
99,LOXL1-AS1
100,HOXB2
101,ADAM28
102,C20orf166-AS1
103,SFXN4
104,FGB
105,RPS8
106,SMG1P3
107,ELMSAN1
108,PRKAG2
109,HERC4
110,LSM1
111,KIAA0125
112,IGJ
113,LOC613037
114,SEP15
115,SAP18
116,TLR8-AS1
117,ZSCAN12
118,GALNT15
119,GCC2
120,MED24
121,FBXL19-AS1
122,TCP1
123,TRIM5
124,MYADM
125,SOCS2
126,SSH1
127,RQCD1
128,SKAP2
129,MXD1
130,RMDN3
131,TRMT2A
132,HLA-DQA1
133,ZBTB33
134,HOPX
135,MT1M
136,RPL29
137,TMEM205
138,KIAA2026
139,MPHOSPH8
140,FCAR
141,TRIM13
142,DOLK
143,FAM19A2
144,CWC22
145,INTS10
146,RNA45S5
147,ADSL
148,PLOD1
149,GAPDH
150,APOL2
151,HERC2P2
152,PIWIL3
153,HNRNPA1L2
154,SDE2
155,AJUBA
156,RPL32P3
157,FBXW7
158,ZBTB24
159,RABGGTB
160,OGT
161,GPR128
162,KIAA1456
163,POLH
164,SEC62
165,PMS2CL
166,PDLIM1
167,DDX21
168,HMBS
169,CORO1C
170,TSPAN2
171,PANK2
172,EMR4P
173,GNPNAT1
174,SUPT4H1
175,SMARCE1
176,HLA-H
177,LOC101928372
178,LURAP1
179,MSH3
180,CD63
